Трек,Артист,Жанр,BPM,Ключ,Прослушивания,Лайки,Скачивания
Skybound,Lil Nova,Trap,140,C#m,12000,2300,500
Neon Drip,YNG Breeze,Rage,150,D#,8000,1500,300
808 Mirage,OD,Drill,145,F#m,15000,2700,600
Starpath,Ken Flow,Hyperpop,160,A,7000,1200,250
Velvet Void,Starboy,Trap,138,G#m,13000,2100,550
RageCore,Carson,Rage,155,Em,9500,1700,400
Dreamwalk,OD,Trap,142,Am,11000,2000,450
Night Pulse,GinsengX,Hyperpop,165,D#m,6000,1000,200
Trapstar,TrapDuke,Drill,148,F#,9000,1600,350
Digital Rain,Lil Nova,Trap,139,Bm,14000,2500,520
